person_id,alias,normalized_alias,source,active,notes
skv-p000001,Ådne Andersen,adne andersen,auto_result_name,true,
skv-p000002,Ådne Andersen Andersen,adne andersen andersen,auto_result_name,true,
skv-p000003,Ådne Dyrnesli,adne dyrnesli,auto_result_name,true,
skv-p000004,Ådne Sandvik Dyrnesli,adne sandvik dyrnesli,auto_result_name,true,
skv-p000005,Aksel Anker Solberg-Hansen,aksel anker solberg hansen,auto_result_name,true,
skv-p000006,Aksel Spence,aksel spence,auto_result_name,true,
skv-p000007,Aleksander,aleksander,auto_result_name,true,
skv-p000008,Aleksander Amundsen,aleksander amundsen,auto_result_name,true,
skv-p000009,Alexandra Paus Laizet,alexandra paus laizet,auto_result_name,true,
skv-p000010,Alfred Wendt Ingulstad,alfred wendt ingulstad,auto_result_name,true,
skv-p000011,Alva Witnes Ertresvåg,alva witnes ertresvag,auto_result_name,true,
skv-p000012,Amalie Sæten,amalie saeten,auto_result_name,true,
skv-p000013,Amalie Tolcsiner,amalie tolcsiner,auto_result_name,true,
skv-p000014,Anders Nordby,anders nordby,auto_result_name,true,
skv-p000015,Anders Rundgren,anders rundgren,auto_result_name,true,
skv-p000016,Anders Wigdahl,anders wigdahl,auto_result_name,true,
skv-p000017,Andre Christensen,andre christensen,auto_result_name,true,
skv-p000018,Andrea Langmo,andrea langmo,auto_result_name,true,
skv-p000019,Andrea Opstad Andersen,andrea opstad andersen,auto_result_name,true,
skv-p000020,Andreas Fossan,andreas fossan,auto_result_name,true,
skv-p000021,Andreas Haugen Torjussen,andreas haugen torjussen,auto_result_name,true,
skv-p000022,Andreas Havsberg,andreas havsberg,auto_result_name,true,
skv-p000023,Andreas Sjurseth *,andreas sjurseth,auto_result_name,true,
skv-p000024,Andreas Skog Røst,andreas skog rost,auto_result_name,true,
skv-p000025,Andreas Solheim,andreas solheim,auto_result_name,true,
skv-p000026,Andreas Sung Unstad,andreas sung unstad,auto_result_name,true,
skv-p000027,Anette Killerud Ødegård,anette killerud odegard,auto_result_name,true,
skv-p000028,Anna Cornelia Thorn,anna cornelia thorn,auto_result_name,true,
skv-p000029,Anna Marie Sirevåg,anna marie sirevag,auto_result_name,true,
skv-p000030,Anna Syrstad,anna syrstad,auto_result_name,true,
skv-p000031,Anne Berit Gravvold,anne berit gravvold,auto_result_name,true,
skv-p000032,Anne Myhr,anne myhr,auto_result_name,true,
skv-p000033,Anton Heldal,anton heldal,auto_result_name,true,
skv-p000034,Arild Ravlo Hersleth,arild ravlo hersleth,auto_result_name,true,
skv-p000035,Arvin Patel,arvin patel,auto_result_name,true,
skv-p000036,Askild Vatnbakk Larsen,askild vatnbakk larsen,auto_result_name,true,
skv-p000037,Asta Ellingvåg,asta ellingvag,auto_result_name,true,
skv-p000038,Atle Wendel Scheie,atle wendel scheie,auto_result_name,true,
skv-p000039,Benjamin Hai Duong,benjamin hai duong,auto_result_name,true,
skv-p000040,Bethina Valle,bethina valle,auto_result_name,true,
skv-p000041,Bjørnar Slettvåg,bjornar slettvag,auto_result_name,true,
skv-p000042,Caroline Marie Wiig,caroline marie wiig,auto_result_name,true,
skv-p000043,Catherine Berg,catherine berg,auto_result_name,true,
skv-p000044,Catherine Vaugelade Pedersen,catherine vaugelade pedersen,auto_result_name,true,
skv-p000045,Christian Hammer,christian hammer,auto_result_name,true,
skv-p000046,Christian Lillebo,christian lillebo,auto_result_name,true,
skv-p000047,Christian Lund Sørensen,christian lund sorensen,auto_result_name,true,
skv-p000048,Christoffer Hagen,christoffer hagen,auto_result_name,true,
skv-p000049,Christopher Aalholm,christopher aalholm,auto_result_name,true,
skv-p000050,Christopher Wiig,christopher wiig,auto_result_name,true,
skv-p000051,Constantin Rust *,constantin rust,auto_result_name,true,
skv-p000052,Dadafo Dhaqabi Tesama,dadafo dhaqabi tesama,auto_result_name,true,
skv-p000053,Daniel Severinsen,daniel severinsen,auto_result_name,true,
skv-p000054,David Meier,david meier,auto_result_name,true,
skv-p000054,David Ormstad Meier,david ormstad meier,manual_canonical_name,true,
skv-p000055,Dina Anjara Herilanto Randrianampiantsoa,dina anjara herilanto randrianampiantsoa,auto_result_name,true,
skv-p000056,Dina Erika Hansen,dina erika hansen,auto_result_name,true,
skv-p000057,Dong Zhang,dong zhang,auto_result_name,true,
skv-p000058,Dory Kovacs,dory kovacs,auto_result_name,true,
skv-p000059,Einar Nordlund,einar nordlund,auto_result_name,true,
skv-p000060,Eirik Haugland Kvalvik,eirik haugland kvalvik,auto_result_name,true,
skv-p000061,Eivind Baekkedal,eivind baekkedal,auto_result_name,true,
skv-p000062,Eivind Rosseland Stokke,eivind rosseland stokke,auto_result_name,true,
skv-p000063,Eline Rud Wagle,eline rud wagle,auto_result_name,true,
skv-p000064,Elisabeth Jarland,elisabeth jarland,auto_result_name,true,
skv-p000065,Elliot Jones,elliot jones,auto_result_name,true,
skv-p000066,Elvira Bønsnæs Ødegaard,elvira bonsnaes odegaard,auto_result_name,true,
skv-p000067,Emil Aarstad,emil aarstad,auto_result_name,true,
skv-p000068,Emilie Mo,emilie mo,auto_result_name,true,
skv-p000069,Erik Bjørgum,erik bjorgum,auto_result_name,true,
skv-p000070,Erik Bøhn,erik bohn,auto_result_name,true,
skv-p000071,Erik Bucher Johannessen,erik bucher johannessen,auto_result_name,true,
skv-p000072,Erik Flølo,erik flolo,auto_result_name,true,
skv-p000073,Erik Rønneberg,erik ronneberg,auto_result_name,true,
skv-p000074,Erlend Brevik,erlend brevik,auto_result_name,true,
skv-p000075,Erlend Bruaset,erlend bruaset,auto_result_name,true,
skv-p000076,Erlend Fugleberg Bruaset,erlend fugleberg bruaset,auto_result_name,true,
skv-p000077,Erlend Hellum,erlend hellum,auto_result_name,true,
skv-p000078,Erlend Sørtveit,erlend sortveit,auto_result_name,true,
skv-p000079,Erling Syversveen Lie,erling syversveen lie,auto_result_name,true,
skv-p000080,Ernst Herlof Kristiansen,ernst herlof kristiansen,auto_result_name,true,
