candidate_id,decision,primary_person_id,secondary_person_id,preferred_display_name,notes,reviewed_at,applied_at
pmc-aefccfbacfd132bc,merge,skv-p000080,skv-p000081,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-112fb96d15c5b562,merge,skv-p000289,skv-p000290,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-eeac426a753fabb4,merge,skv-p000212,skv-p000211,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-2b6494af055aa936,merge,skv-p000295,skv-p000294,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-67cc8fdad2395af4,merge,skv-p000293,skv-p000292,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-95601078b1e35f4d,defer,skv-p000116,skv-p000113,,,2026-04-28T09:48:58+02:00,
pmc-5235f774baf43dca,merge,skv-p000309,skv-p000310,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-d62262782f4c9fbe,merge,skv-p000003,skv-p000004,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-7204b91f9c91dd58,merge,skv-p000273,skv-p000274,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-02e5c8109d186d2e,merge,skv-p000227,skv-p000226,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-61da9018a80d91ea,merge,skv-p000001,skv-p000002,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-9ca91cab4f07fd2d,merge,skv-p000075,skv-p000076,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-8d35e0924ef3278a,merge,skv-p000099,skv-p000100,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-945c6997e5c18c9a,merge,skv-p000110,skv-p000111,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-32f758ebbba3c2d6,merge,skv-p000304,skv-p000303,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-ec2c8607c8969c97,merge,skv-p000151,skv-p000150,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-a3e3019193ea1bfa,merge,skv-p000278,skv-p000279,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-36c2ca9578304d64,merge,skv-p000342,skv-p000343,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-6210fbb919e45045,merge,skv-p000160,skv-p000161,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-dadc01382a443e9c,merge,skv-p000178,skv-p000176,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-2b1e1ace0d26bfaa,merge,skv-p000206,skv-p000205,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-c65ae8e08a5c9f18,merge,skv-p000248,skv-p000247,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-f089557b0d231a78,merge,skv-p000257,skv-p000256,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-903e3eed082b934c,merge,skv-p000306,skv-p000305,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-aa516822e8d694a8,merge,skv-p000202,skv-p000203,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-62456361407a5a3e,merge,skv-p000260,skv-p000259,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-992be454b4417d85,merge,skv-p000107,skv-p000106,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-493e6d01c9c86007,reject,skv-p000132,skv-p000280,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-3d8fd5c486b8d8d7,reject,skv-p000112,skv-p000113,,,2026-04-28T09:48:58+02:00,2026-04-28T09:49:04+02:00
pmc-6a161071143e924e,merge,skv-p000421,skv-p000146,,,2026-05-30T17:28:48+02:00,2026-05-30T17:30:00+02:00
pmc-1610b4b5e9feb7b5,merge,skv-p000400,skv-p000023,,,2026-05-30T17:28:48+02:00,2026-05-30T17:30:00+02:00
pmc-b1ac9c4d2e0146e3,merge,skv-p000388,skv-p000224,,,2026-05-30T17:28:48+02:00,2026-05-30T17:30:00+02:00
pmc-2e6edd4b75018625,merge,skv-p000390,skv-p000334,,,2026-05-30T17:28:48+02:00,2026-05-30T17:30:00+02:00
pmc-68214879fa2daf35,merge,skv-p000041,skv-p000381,,,2026-05-30T17:28:48+02:00,2026-05-30T17:30:00+02:00
pmc-f8eb523479908a4c,merge,skv-p000143,skv-p000402,,,2026-05-30T17:28:48+02:00,2026-05-30T17:30:00+02:00
pmc-0bc083be94d8315a,merge,skv-p000006,skv-p000379,,,2026-05-30T17:28:48+02:00,2026-05-30T17:30:00+02:00
pmc-70a230de163785ba,merge,skv-p000401,skv-p000366,,,2026-05-30T17:28:48+02:00,2026-05-30T17:30:00+02:00
pmc-a8d821737afbc903,merge,skv-p000354,skv-p000251,,,2026-05-30T17:28:48+02:00,2026-05-30T17:30:00+02:00
pmc-81a5012ee82127c6,merge,skv-p000144,skv-p000403,,,2026-05-30T17:28:48+02:00,2026-05-30T17:30:00+02:00
pmc-e0d085838dc64378,merge,skv-p000399,skv-p000324,,,2026-05-30T17:28:48+02:00,2026-05-30T17:30:00+02:00
pmc-2bce1419dacaa77f,merge,skv-p000383,skv-p000053,,,2026-05-30T17:28:48+02:00,2026-05-30T17:30:00+02:00
pmc-70fe07b2c6a2c623,merge,skv-p000174,skv-p000398,,,2026-05-30T17:28:48+02:00,2026-05-30T17:30:00+02:00
pmc-e73c656d2753b3cc,merge,skv-p000033,skv-p000418,,,2026-05-30T17:28:48+02:00,2026-05-30T17:30:00+02:00
pmc-d4edc3740ee1e8e8,merge,skv-p000043,skv-p000382,,,2026-05-30T17:28:48+02:00,2026-05-30T17:30:00+02:00
pmc-d6f28028b2c2c187,merge,skv-p000144,skv-p000385,,,2026-05-30T17:28:48+02:00,2026-05-30T17:30:00+02:00
pmc-53879b2a27f821d9,merge,skv-p000238,skv-p000353,,,2026-05-30T17:28:48+02:00,2026-05-30T17:30:00+02:00
