Boysen Memorial 2026
Dato: 24.06.2026
Kilde: https://liveres.andro.no/arr/338

SK Vidar/relaterte fullførte resultater:
2026-06-24 | Oda Lier | KS | 100 m | 12.71 | plass 24 | Offisiell SK Vidar | https://liveres.andro.no/arr/338 | KS 100 m heat 2 | startnr 165 | SK Vidar
2026-06-24 | Simen Gimnes | MS | Lengde | 7.70 | plass 2 | Offisiell SK Vidar | https://liveres.andro.no/arr/338 | MS Lengde heat 0 | startnr 85 | SK Vidar
2026-06-24 | Ilona Mononen | KS | 1500 m | 4:07.32 | plass 1 | relatert utøver, FIN | https://liveres.andro.no/arr/338 | KS 1500 m heat 0 | startnr 193 | FIN
2026-06-24 | Frida Bjørnstad Konow | KS | 1500 m | 4:29.53 | plass 13 | Offisiell SK Vidar | https://liveres.andro.no/arr/338 | KS 1500 m heat 0 | startnr 151 | SK Vidar
2026-06-24 | Kaja Mørch Pettersen | KS | Spyd | 57.36 | plass 2 | Offisiell SK Vidar | https://liveres.andro.no/arr/338 | KS Spyd heat 0 | startnr 229 | SK Vidar
2026-06-24 | Sondre Nordstad Moen | MS | 5000 m | 13:37.32 | plass 2 | Offisiell SK Vidar | https://liveres.andro.no/arr/338 | MS 5000 m heat 2 | startnr 190 | SK Vidar
2026-06-24 | Sondre Taugbøl Lomeland | MS | 5000 m | 15:01.41 | plass 18 | Offisiell SK Vidar | https://liveres.andro.no/arr/338 | MS 5000 m heat 2 | startnr 171 | SK Vidar
2026-06-24 | Eline Heia | KS | 200 m | 26.24 | plass 22 | Offisiell SK Vidar | https://liveres.andro.no/arr/338 | KS 200 m heat 1 | startnr 103 | SK Vidar
2026-06-24 | Malene Kollberg | KS | Lengde | 5.82 | plass 8 | Offisiell SK Vidar | https://liveres.andro.no/arr/338 | KS Lengde heat 0 | startnr 147 | SK Vidar
2026-06-24 | Lina Svarlien | KS | Lengde | 5.55 | plass 9 | Offisiell SK Vidar | https://liveres.andro.no/arr/338 | KS Lengde heat 0 | startnr 273 | SK Vidar
2026-06-24 | Cassandra Ødegård Nilsen | KS | 400 m hekk | 1:00.77 | plass 9 | Offisiell SK Vidar | https://liveres.andro.no/arr/338 | KS 400 m hekk heat 1 | startnr 203 | SK Vidar
