Plass,Startnummer,Lag,Kategori,Total plassering,Kategori plassering,Nettotid,Bruttotid,34 km,60 km,Loper 1 startnummer,Loper 1 navn,Loper 1 etappe,Loper 1 etappeplassering,Loper 2 startnummer,Loper 2 navn,Loper 2 etappe,Loper 2 etappeplassering,Lagdetaljer
1,2056,SK Vidar,Mix lag,1 av 47,1 av 20,4:29:34,4:29:39,2:41:24,1:48:10,2056-1,Maria Bipop Bang Jensen,2:41:24,4,2056-2,Askild Vatnbakk Larsen,1:48:10,1,https://www.sportstiming.dk/event/16880/results/team/322664
2,2011,Rumpmasen och Snapphanen,Herr lag,2 av 47,1 av 20,4:35:33,4:35:35,2:25:57,2:09:36,2011-1,Alexander Gaihede,2:25:57,2,2011-2,Edwin Berglund,2:09:36,1,https://www.sportstiming.dk/event/16880/results/team/317528
3,2053,Team CR Rules And Conquers Österlen,Mix lag,3 av 47,2 av 20,4:37:07,4:37:10,2:29:38,2:07:29,2053-1,Robert Svensson,2:29:38,2,2053-2,Caroline Casparsson,2:07:29,2,https://www.sportstiming.dk/event/16880/results/team/319626
4,2057,Vinninge Warriors,Mix lag,4 av 47,3 av 20,4:49:01,4:49:04,2:30:08,2:18:53,2057-1,Magnus Linde,2:30:08,3,2057-2,Emelie Eklöf,2:18:53,4,https://www.sportstiming.dk/event/16880/results/team/323659
5,2018,Ottosson,Herr lag,5 av 47,2 av 20,5:00:34,5:00:40,2:46:08,2:14:26,2018-1,Filip Ottosson,2:46:08,3,2018-2,Joel Ottosson,2:14:26,2,https://www.sportstiming.dk/event/16880/results/team/317551
6,2062,Mandreas sprinterz,Mix lag,6 av 47,4 av 20,5:02:50,5:02:52,2:27:50,2:35:00,2062-1,Andreas Thell,2:27:50,1,2062-2,Matilda FRANTZICH,2:35:00,10,https://www.sportstiming.dk/event/16880/results/team/317577
7,2047,Kiwirunners,Herr lag,7 av 47,3 av 20,5:11:14,5:11:16,2:20:14,2:51:00,2047-1,Moritz Klose,2:20:14,1,2047-2,Johannes Tegner,2:51:00,11,https://www.sportstiming.dk/event/16880/results/team/317632
8,2044,Goa gubbar,Herr lag,8 av 47,4 av 20,5:24:30,5:24:36,3:04:02,2:20:28,2044-1,Daniel Malmhäll,3:04:02,4,2044-2,Mattias Gustafsson,2:20:28,3,https://www.sportstiming.dk/event/16880/results/team/317621
9,2049,Dubbel -A,Mix lag,9 av 47,5 av 20,5:43:12,5:43:27,3:15:17,2:27:55,2049-1,Anna Nystedt,3:15:17,7,2049-2,Jonas Lundberg,2:27:55,6,https://www.sportstiming.dk/event/16880/results/team/317654
10,2035,Trail & Error,Herr lag,10 av 47,5 av 20,5:45:27,5:45:59,3:18:59,2:26:28,2035-1,Calle Pärsson,3:18:59,7,2035-2,Jakob Landén,2:26:28,4,https://www.sportstiming.dk/event/16880/results/team/317582
11,2034,Pusselbitarna,Mix lag,11 av 47,6 av 20,5:50:28,5:50:41,3:39:20,2:11:08,2034-1,Brian Malmberg,3:39:20,13,2034-2,Elaine Malmberg,2:11:08,3,https://www.sportstiming.dk/event/16880/results/team/317581
12,2046,Duopommes,Herr lag,12 av 47,6 av 20,5:55:14,5:55:30,3:21:31,2:33:43,2046-1,Christian Enulait,3:21:31,9,2046-2,Nino König,2:33:43,5,https://www.sportstiming.dk/event/16880/results/team/317630
13,2050,Jonas&Magnus,Herr lag,13 av 47,7 av 20,5:58:44,5:58:58,3:19:55,2:38:49,2050-1,Magnus Waldt,3:19:55,8,2050-2,Jonas Jönsson,2:38:49,6,https://www.sportstiming.dk/event/16880/results/team/317655
14,2007,DirtyDittlaus,Herr lag,14 av 47,8 av 20,5:58:53,5:59:12,3:05:35,2:53:18,2007-1,Albin Svantesson,3:05:35,5,2007-2,Niklas Dittlau Feldskou,2:53:18,14,https://www.sportstiming.dk/event/16880/results/team/317524
15,2021,Team I och J,Mix lag,15 av 47,7 av 20,6:11:12,6:11:40,3:38:59,2:32:13,2021-1,Johanna Stigmar,3:38:59,12,2021-2,Isak Jakobsson,2:32:13,9,https://www.sportstiming.dk/event/16880/results/team/317558
16,2036,Sillastrybar på vift,Herr lag,16 av 47,9 av 20,6:11:26,6:11:59,3:29:05,2:42:21,2036-1,Erik Urde Ahl,3:29:05,13,2036-2,Albert Bengtsson,2:42:21,8,https://www.sportstiming.dk/event/16880/results/team/317585
17,2006,Kul ska de va,Mix lag,17 av 47,8 av 20,6:11:31,6:11:35,2:44:55,3:26:36,2006-1,Daniel Cefalk,2:44:55,5,2006-2,Sofie Alzén,3:26:36,19,https://www.sportstiming.dk/event/16880/results/team/317522
